Item,Category,Tier,Notes
Astreon's Iron Ward,Weapon,Low,A rare and solid Weapon for a Fist of the Heavens Paladin | Stats: +x to Combat Skills. Damage +x+x% Enhanced Damage+x% Bonus to Attack Rating. Damage Reduced by x
Atma’s Scarab,Amulet,Low,Niche item for Physical Damage builds. Best in slot on the Strafe Amazon
Bartuc's Cut-Throat,Weapon,Low,Good early-game option for any Assassin build. Budget option for Martial Arts Assassins. Example: Phoenix Strike Assassin | Stats: +x% Enhanced Damagex% Life stolen per hit
Black Cleft,Charm,Low,Sets all Immune to Magic monsters to 95% Magic Resistance. It also reduces your own Resistance to Magic Damage.See: Sunder Charms
Blade of Ali Baba,Weapon,Low,Solid Weapon-Swap for Magic and Gold Find builds. Value drops quickly. Example: Gold Find Barbarian
Bloodfist,Gloves,Low,Provides great survivability stats. Best in Slot Leveling Unique
Boneflame,Shield,Low,Niche item. Hard to Trade | Stats: +x to Necromancer Skill Levels. All Resistances +x
Bonehew,Weapon,Low,Budget Mercenary option for a Gold Find Barbarian. Ethereal is required for decent Value | Stats: Ethereal+x% Enhanced Damage
Boneshade,Weapon,Low,Solid option for Bone Spear Necromancers. Requires good rolls. Hard to Trade because of White | Stats: +x to Bone Spear+x to Teeth+x to Bone Armor+x to Bone Spirit
Buriza-Do Kyanon,Weapon,Low,Budget option for Strafe Amazons | Stats: +x% Enhanced Damage
Butcher's Pupil,Weapon,Low,Strong budget melee Attack Weapon. Example: Zeal Paladin | Stats: +x% Enhanced Damage
Cerebus' Bite,Helm,Low,Hard to Trade and requires a good roll. Alternative Helmet for Shapeshifting Druid builds such as the Werewolf Fury Druid | Stats: +x to Shape Shifting Skills+x% Life stolen per hitx% Bonus to Attack Rating+x to Feral Rage
Cow King's Hide,Body Armor (Set),Low,Good Leveling Set. Full Set can be used for Magic Find builds
Cow King's Hooves,Boots (Set),Low,Good Leveling Set. Full Set can be used for Magic Find builds
Cow King's Horns,Helm (Set),Low,Good Leveling Set. Full Set can be used for Magic Find builds
Crown of Thieves,Helm,Low,Good option for mid-game Attack builds. Strong Helmet on Gold Find builds and Mercenaries. Example: Gold Find Barbarian | Stats: Priority depends on use:x% Extra Gold from Monstersx% Life stolen per hit
Darkforce Spawn,Shield,Low,Niche Item that requires a good roll. Hard to Trade | Stats: +x to Poison and Bone Skills+x to Summoning Skills+x to Curses
Death Cleaver,Weapon,Low,Alternative Weapon if Grief is not available. High Value if Ethereal | Stats: +x% Enhanced Damage+x Life after each Kill
Death's Guard,Belt (Set),Low,Only used in combination with Death's Hand. Extremely powerful Starter setup. Can be upgraded using a Horadric Cube Recipe
Death's Hand,Gloves (Set),Low,Only used in combination with Death's Guard. Extremely powerful Starter setup
Demon Limb,Weapon,Low,Frequently used to pre-buff Attack based Characters for additional Attack Rating. Example: Zeal Paladin
Demon Machine,Weapon,Low,Primary weapon used on an Enchant Sorceress
Duriel's Shell,Body Armor,Low,Strong early game Body Armor for Mercenaries and Characters alike due to Cannot Be Frozen and strong Resistances | Stats: Ethereal (for Mercenary)
Dwarf Star,Ring,Low,Best in Slot for Gold Find Characters. Sometimes used in PVP against Fire builds. Example: Gold Find Barbarian | Stats: Magic Damage Reduced by x
Earth Shifter,Weapon,Low,Niche rare item that can be used on a Fire Claws Druid | Stats: +x% Enhanced Damage
Fleshripper,Weapon,Low,Good early-game alternative for Smite Paladins or Dragon Talon Assassins
Frostburn,Gloves,Low,Best in Slot for Energy Shield builds
Gargoyle's Bite,Weapon,Low,Niche use on a Throw Barbarian. Hard to Trade | Stats: Ethereal+x% Enhanced Damagex% Life stolen per hit
Gerke's Sanctuary,Shield,Low,Defensive Shield used on certain Energy Shield Sorceress builds. Medium Value in Hardcore | Stats: Damage Reduced by x. Magic Damage Reduced by x. All Resistances +x
Giant Skull,Helm,Low,Niche item for Bow builds and Act 1 Mercenaries. Example: Strafe Amazon | Stats: Socketed [2] requiredx to Strength
Goblin Toe,Boots,Low,Best in Slot for Smite Paladins
Goldstrike Arch,Weapon,Low,Budget Weapon option for Strafe and Multiple Shot Amazons | Stats: +x% Enhanced Damage+x% Damage to Demons+x% Damage to Undeadx% Bonus to Attack Rating
Goldwrap,Belt,Low,Best in Slot for Magic and Gold Find builds. Example: Berserk Barbarian | Stats: x% Extra Gold from Monsters
Griswold's Valor,Helm (Set),Low,Very good transitional Magic Find Helmet. Full Set used in niche Paladin setups | Stats: x% Better Chance of Getting Magic Items
Guardian Angel,Body Armor,Low,Used for very high survivability due to higher Maximum Resistances and lower Dexterity requirement for max Chance to Block
Gull,Weapon,Low,The best early game Magic Find Weapon
Head Hunter's Glory,Shield,Low,Used in niche builds. Hard to trade | Stats: Socketed (3 required)Fire Resist +x%+x Life after each Kill
Heaven's Light,Weapon,Low,Solid Weapon option for a Fist of the Heavens Paladin | Stats: +x to Paladin Skill Levels+x Life after each Demon Kill+x% Enhanced Damage
Hotspur,Boots,Low,Strong Leveling Unique. Used to negate Fire Damage in Chaos Sanctuary. Sometimes used in PVP
Immortal King's Detail,Belt (Set),Low,Often used in combination with Immortal King's Forge and Immortal King's Pillar. More commonly used in full Set
Immortal King's Forge,Gloves (Set),Low,Often used in combination with Immortal King's Detail and Immortal King's Pillar. More commonly used in full Set
Immortal King's Pillar,Boots (Set),Low,Often used in combination with Immortal King's Detail and Immortal King's Forge. More commonly used in full Set
Immortal King's Stone Crusher,Weapon (Set),Low,Only used in complete Immortal King Set gear setups. Must have 40% Crushing Blow to be tradable | Stats: x% Chance of Crushing Blow
Immortal King's Will,Helm (Set),Low,Solid option for Magic and Gold Find Barbarians. Example: Gold Find Barbarian | Stats: x% Better Chance of Getting Magic Items
Infernostride,Boots,Low,Solid option for Gold Find builds. Example: Gold Find Barbarian | Stats: x% Extra Gold from Monsters
Jalal's Mane,Helm,Low,Best in Slot for most Shapeshifting Druid builds. Example: Rabies Druid
Kira's Guardian,Helm,Low,Good option to cap Resistances early on. Especially good for Attack builds due to Cannot Be Frozen | Stats: All Resistances +x
Laying of Hands,Gloves (Set),Low,Best in Slot for many Attack builds. Hard to Trade. Example: Multiple Shot Amazon
Leviathan,Body Armor,Low,Good survivability Armor for Mercenaries and melee Attack builds. Medium Value in Hardcore
Lidless Wall,Shield,Low,Best in Slot Caster Shield until Spirit | Stats: +x to Mana after each kill
Lightsabre,Weapon,Low,Strong Weapon to Level-Up Melee Characters. Alternative Weapon for Uber Tristram builds | Stats: +x% Enhanced Damagex% Mana stolen per hit
M'avina's Caster,Weapon (Set),Low,Only used in full M'avina's Battle Hymn setups. Example: Freezing Arrow Amazon
M'avina's Embrace,Body Armor (Set),Low,Only used in full M'avina's Battle Hymn setups. Example: Freezing Arrow Amazon
Magefist,Gloves,Low,Best in Slot for most Caster builds. Especially strong on Fire Skill builds. Example: Hydra Sorceress
Marrowwalk,Boots,Low,Best in Slot damage option for Summon Necromancers. Niche uses on Uber Tristram builds | Stats: +x to Skeleton Mastery (Necromancer)+x to Strength
Moser's Blessed Circle,Shield,Low,High Resistance Shield. Used during Leveling and in Hardcore
Nagelring,Ring,Low,Best in Slot for Magic Find builds. Example: Berserk Barbarian | Stats: x% Better Chance of Getting Magic Items
Naj's Puzzler,Weapon (Set),Low,Best Teleport staff in the game. Used before Enigma. Full Set grants solid Magic Find
Natalya's Mark,Weapon (Set),Low,Rarest piece of the Natalya's Set. Used in Full Natalya's Odium setups on niche Martial Arts Assassins. Example: Phoenix Strike Assassin
Natalya's Soul,Boots (Set),Low,Very good early game Boots on most builds. Used in Full Natalya's Odium setups on niche Martial Arts Assassins. Example: Phoenix Strike Assassin | Stats: Lightning Resist +x%Cold Resist +x%
Nature's Peace,Ring,Low,Used on Nihlathak farming builds | Stats: Damage Reduced by x
Nosferatu's Coil,Belt,Low,Niche Belt for Attack builds. Example: Zeal Paladin | Stats: x% Life stolen per hit
Peasant Crown,Helm,Low,Strong +1 to All Skills Helmet for Leveling. Used on several budget builds. Drops in Value after Early Ladder
Que-Hegan's Wisdom,Helm,Low,Used on mid-game caster builds which benefit a lot from Mana after each Kill. Example: Nova Sorceress
Raven Claw,Weapon,Low,Best in Slot Weapon for Leveling with the help of an Enchant Sorceress
Razortail,Belt,Low,Best in Slot for most projectile builds. Example: Lightning Fury Amazon
Ribcracker,Weapon,Low,Used on Uber Druid Shapeshifting builds. Requires good rolls and Ethereal quality. Example: Werewolf Fury Druid | Stats: +x% Enhanced Damage. Ethereal
Rockstopper,Helm,Low,Extremely strong survivability Helmet for Leveling. More useful on Hardcore | Stats: Lightning Resist +x%Fire Resist +x%Cold Resist +x%
Rotting Fissure,Charm,Low,Sets all Immune to Poison monsters to 95% Poison Resistance. It also reduces your own Resistance to Poison Damage.See: Sunder Charms
Sandstorm Trek,Boots,Low,Best in Slot on some build variants. Often used in PVP and Hardcore. Hard to Trade. Example: Blessed Hammer Paladin | Stats: +x to Strength+x to Vitality. Ethereal
Schaefer's Hammer,Weapon,Low,Decent alternative for melee Attack builds | Stats: +x% Enhanced Damage
Seraph’s Hymn,Amulet,Low,Used for +2 to All Skills | Stats: +x to Defensive Auras+x% Damage to Demons+x% Damage to Undead+x to Attack Rating against Demons+x to Attack Rating against Undead
Shaftstop,Body Armor,Low,Strong survivability option for melee Attack builds and Mercenaries. Medium Value in Hardcore | Stats: Ethereal (for Mercenaries)
Sigon's Gage,Gloves (Set),Low,Versatile Leveling Set. Drops in Value quickly
Sigon's Guard,Shield (Set),Low,Versatile Leveling Set. Drops in Value after Early Ladder
Sigon's Sabot,Boots (Set),Low,Versatile Leveling Set. Drops in Value after Early Ladder
Sigon's Shelter,Body Armor (Set),Low,Versatile Leveling Set. Drops in Value after Early Ladder
Sigon's Visor,Helm (Set),Low,Versatile Leveling Set. Drops in Value after Early Ladder
Sigon's Wrap,Belt (Set),Low,Versatile Leveling Set. Drops in Value after Early Ladder
Silkweave,Boots,Low,Highest Mana recovery Boots. Solid option for high Area of Effect builds. Example: Lightning Fury Amazon
Snowclash,Belt,Low,Best in Slot damage Belt for the Blizzard Sorceress
Stealskull,Helm,Low,Best in Slot for Magic Find Mercenaries. Hard to Trade | Stats: x% Better Chance of Getting Magic Items
Steelrend,Gloves,Low,Mostly used on PVP builds | Stats: +x% Enhanced Damage+x to Strength
Stormshield,Shield,Low,Best defensive Shield in the game. High Value in Hardcore. Example: War Cry Barbarian
String of Ears,Belt,Low,Good option for early Attack builds | Stats: Damage Reduced by x%x% Life stolen per hit. Magic Damage Reduced by x
Suicide Branch,Weapon,Low,Used for its high Faster Cast Rate. Example: Tornado Hurricane Druid
Tarnhelm,Helm,Low,Solid Magic Find option until Harlequin Crest. Drops in Value after Early Ladder | Stats: x% Better Chance of Getting Magic Items
The Cat’s Eye,Amulet,Low,Strong Amulet for Attack builds that require Increased Attack Speed. Cheap alternative to Highlord's Wrath. Example: Jab Fend Amazon
The Cranium Basher,Weapon,Low,Niche Weapon for melee Attack builds | Stats: +x% Enhanced Damage
The Grandfather,Weapon,Low,Iconic Weapon used in early-mid game melee builds. Requires a high Enhanced Damage roll. Example: Frenzy Barbarian | Stats: +x% Enhanced Damage
The Redeemer,Weapon,Low,Solid Weapon option for a Fist of the Heavens Paladin | Stats: +x to Holy Bolt. Damage +x+x% Enhanced Damage
Tomb Reaver,Weapon,Low,Best in Slot on niche builds. Requires extremely good rolls for High Value. Example: Werewolf Fury Druid | Stats: Socketed [3] required. Ethereal+x% Enhanced Damage. All Resistances +xx% Better Chance of Getting Magic Items+x to Life after each Kill+x% Damage to Undead
Trang-Oul's Guise,Helm (Set),Low,Used on niche setups using the full Set
Trang-Oul's Scales,Body Armor (Set),Low,Used on budget Summoner Necromancers. Also used on niche setups using the full Set
Trang-Oul's Wing,Shield (Set),Low,Used in 3-Piece and full Trang-Oul's Avatar setups. Example: Poison Nova Necromancer | Stats: Fire Resist +x%
Valkyrie Wing,Helm,Low,Strong early-game option for the Lightning Fury Amazon. Requires +2 to Amazon Skills | Stats: +x to Amazon Skill Levels+x to Mana after each Kill
Witchwild String,Weapon,Low,Act 1 Mercenary option that provides Physical Damage builds with Amplify Damage. Can also be used on an early-game Strafe Amazon | Stats: +x% Enhanced Damage
Wolfhowl,Helm,Low,Required for the niche Werewolf Barbarian. Needs to roll very well | Stats: +x to Warcries+x to Werewolf+x to Lycanthropy+x to Feral Rage+x to Strength+x to Dexterity+x to Vitality
Wraith Flight,Weapon,Low,Used on Throw Barbarians | Stats: +x% Enhanced Damagex% Life Stolen per hit
Aldur's Deception,Body Armor (Set),None,Full Set used on Summon Druids
Aldur's Rhythm,Weapon (Set),None,Full Set used on Summon Druids
Aldur's Stony Gaze,Helm (Set),None,Full Set used on Summon Druids
Alma Negra,Shield,None,Niche for Zealers. Hard to Trade | Stats: +x% Enhanced Damage+x% Bonus to Attack Rating+x to Paladin Skill Levels. Magic Damage Reduced by x
Angelic Halo,Ring (Set),None,Used in combination with Angelic Wings. Used on PVP builds and during Leveling. Rarely in late-game
Angelic Mantle,Body Armor (Set),TRASH,Charsi food
Angelic Sickle,Weapon (Set),TRASH,Charsi food
Angelic Wings,Amulet (Set),None,Used in combination with Angelic Halo. Used on PVP builds and during Leveling. Rarely in late-game
Arcanna's Deathwand,Weapon (Set),TRASH,Charsi food
Arcanna's Flesh,Body Armor (Set),TRASH,Charsi food
Arcanna's Head,Helm (Set),TRASH,Charsi food
Arcanna's Sign,Amulet (Set),TRASH,Charsi food
Arctic Binding,Belt (Set),None,Decent Set for Leveling
Arctic Furs,Body Armor (Set),None,Decent Set for Leveling
Arctic Horn,Weapon (Set),None,Decent Set for Leveling
Arctic Mitts,Gloves (Set),None,Decent Set for Leveling
Arioc's Needle,Weapon,None,Budget Mercenary Weapon. Also can be used on early-game. Jab Fend Amazons | Stats: +x% Enhanced Damage+x to All Skills
Athena's Wrath,Weapon,TRASH,Charsi food
Atma's Wail,Body Armor,TRASH,Charsi food
Axe of Fechmar,Weapon,TRASH,Charsi food
Baezil's Vortex,Weapon,TRASH,Charsi food
Bane Ash,Weapon,TRASH,Charsi food
Baranar's Star,Weapon,None,Versatile melee Leveling Weapon
Berserker's Hatchet,Weapon (Set),TRASH,Charsi food
Berserker's Hauberk,Body Armor (Set),TRASH,Charsi food
Berserker's Headgear,Helm (Set),None,Strong early-game option for Fire Resist
Biggin's Bonnet,Helm,None,Early-game Leveling Helmet
Bing Sz Wang,Weapon,TRASH,Charsi food
Black Hades,Body Armor,None,Decent Mercenary Armor option
Blackbog's Sharp,Weapon,TRASH,Charsi food
Blackhand Key,Weapon,None,Good Necromancer Leveling Unique
Blackhorn's Face,Helm,None,Early-game Mercenary Option. Can also be used for its Lightning Absorb against Uber Mephisto. Frequently used in Pv. P for the same reason
Blackleach Blade,Weapon,TRASH,Charsi food
Blackoak Shield,Shield,TRASH,Charsi food
Blacktongue,Weapon,TRASH,Charsi food
Bladebone,Weapon,TRASH,Charsi food
Bladebuckle,Belt,TRASH,Charsi food
Blastbark,Weapon,TRASH,Charsi food
Blinkbat's Form,Body Armor,TRASH,Charsi food
Blood Crescent,Weapon,TRASH,Charsi food
Blood Raven's Charge,Weapon,TRASH,Charsi food
Bloodletter,Weapon,None,Strong Leveling option for a melee Barbarian | Stats: +x to Whirlwind [Barbarian Only]+x to Blade Mastery [Barbarian Only]
Bloodmoon,Weapon,TRASH,Charsi food
Bloodrise,Weapon,TRASH,Charsi food
Bloodthief,Weapon,TRASH,Charsi food
Bloodtree Stump,Weapon,None,Decent Leveling Unique for Shapeshifting Druids or Whirlwind Barbarians | Stats: +x% Enhanced Damage
Boneflesh,Body Armor,None,Decent early Leveling for Attack builds and Mercenary
Boneslayer Blade,Weapon,TRASH,Charsi food
Bonesnap,Weapon,None,Decent Leveling Unique for Shapeshifting Druids or Whirlwind Barbarians | Stats: +x% Enhanced Damage
Brainhew,Weapon,TRASH,Charsi food
Bul-Kathos' Sacred Charge,Weapon (Set),None,Budget Frenzy Barbarian Weapon only used with Bul-Kathos' Tribal Guardian
Bul-Kathos' Tribal Guardian,Weapon (Set),None,Budget Frenzy Barbarian Weapon only used with Bul-Kathos' Sacred Charge
Bverrit Keep,Shield,TRASH,Charsi food
Carin Shard,Weapon,TRASH,Charsi food
Carrion Wind,Ring,TRASH,Charsi food
Cathan's Mesh,Body Armor (Set),TRASH,Charsi food
Cathan's Rule,Weapon (Set),TRASH,Charsi food
Cathan's Seal,Ring (Set),TRASH,Charsi food
Cathan's Sigil,Amulet (Set),TRASH,Charsi food
Cathan's Visage,Helm (Set),TRASH,Charsi food
Chromatic Ire,Weapon,None,Strong early-game Sorceress option instead of the Spirit + Ancient's Pledgecombination | Stats: Increased Maximum Life x%All Resistances +x%
Civerb's Cudgel,Weapon (Set),TRASH,Charsi food
Civerb's Icon,Amulet (Set),TRASH,Charsi food
Civerb's Ward,Shield (Set),TRASH,Charsi food
Cleglaw's Claw,Gloves (Set),TRASH,Charsi food
Cleglaw's Pincers,Weapon (Set),TRASH,Charsi food
Cleglaw's Tooth,Shield (Set),TRASH,Charsi food
Cliffkiller,Weapon,None,Good budget option on a Bow Amazon if upgraded using the Horadric Cube Recipe. Example: Strafe Amazon | Stats: +x% Enhanced Damage
Cloudcrack,Weapon,TRASH,Charsi food
Coif of Glory,Helm,TRASH,Charsi food
Coldkill,Weapon,TRASH,Charsi food
Coldsteel Eye,Weapon,TRASH,Charsi food
Corpsemourn,Body Armor,TRASH,Charsi food
Crainte Vomir,Weapon,TRASH,Charsi food
Cranebeak,Weapon,TRASH,Charsi food
Credendum,Belt (Set),None,Decent transitional Item due to All Resistances
